ProductID,ProductName,Category,Price,StockQuantity
1,Herbal Tea Variety Pack,Home,293,99
2,Self-Adhesive Wallpaper,Beauty,295,41
3,Thai Coconut Curry Sauce,Clothing,439,57
4,Sweet Pea Hummus,Home,203,96
5,Crew Neck Sweater,Electronics,391,35
6,Warm Wool Sweater,Clothing,411,58
7,Solar Power Bank,Sports,90,49
8,Foam Building Blocks for Kids,Beauty,178,63
9,Electric Air Pump,Clothing,486,58
10,Microwave Popcorn Maker,Beauty,470,87
11,Chipotle Black Bean Salad,Clothing,249,26
12,Smartphone Gimbal Stabilizer,Clothing,218,41
13,Miso Soup Starter,Electronics,263,97
14,Classic Bagels,Home,37,51
15,Savory Mushroom Risotto,Beauty,201,58
16,Lemon Zest Olive Oil,Beauty,288,41
17,Magnetic Whiteboard,Home,80,50
18,Self-Watering Planter,Home,239,71
19,Tomato Paste,Clothing,37,51
20,Chili Powder,Home,150,87
21,Silicone Baking Cups,Electronics,409,62
22,Chocolate Mint Protein Shake,Electronics,123,95
23,Kids' Building Blocks,Beauty,21,46
24,Wooden Puzzle Game,Home,166,65
25,Winter Knit Beanie,Electronics,20,79
26,Brownie Bites,Beauty,417,51
27,Coconut Cream Pie Yogurt,Electronics,323,16
28,Solar Power Bank,Clothing,292,30
29,Skincare Set,Clothing,105,94
30,Smartphone Tripod with Bluetooth Remote,Sports,392,68
31,Adjustable Resistance Bands,Beauty,407,92
32,Lightweight Travel Backpack,Home,154,93
33,Buffalo Chicken Dip,Home,271,37
34,Organic Whole Grain Oats,Beauty,272,100
35,Garden Hose Reel,Home,193,82
36,Wireless Induction Charger,Beauty,204,55
37,Canned Sardines,Clothing,258,93
38,Organic Black Bean Burger,Home,371,23
39,Mixed Nuts,Beauty,19,39
40,Bicycle Lock,Home,54,42
41,Memory Foam Pillow,Beauty,285,80
42,Sweet Potatoes,Beauty,178,90
43,Maple Glazed Carrots,Electronics,67,24
44,Video Camera,Sports,77,91
45,Smart Thermos,Electronics,18,20
46,Induction Cooktop,Clothing,67,83
47,Sweet Chili Dipping Sauce,Beauty,469,37
48,Multi-Cooker,Beauty,206,98
49,High-Waisted Skirt,Electronics,37,35
50,Portable Refrigerator Freezer,Sports,67,90
